f8l24t48b48m00889 0.005 sg 9
f8l24t48b48m00889 0.005 sg 8
f8l24t48b48m00889 0.005 dc 8
f8l24t48b48m00889 0.005 sg 8
f8l24t48b48m00889 0.005 sg 12
f8l24t48b48m00889 2e-2 dc 10
f8l24t48b48m00889 5e-2 sg 12
f8l24t48b48m0075 2e-2 dc 10
f8l32t64b48m0075 1e-2 sg 12
f8l32t64b48m005 3e-3 sg 10
f8l24t48b48m00889 5e-3 sg 12
f8l32t64b48m0075 1e-3 sg 12
f8l48t96b48m00222 3e-3 dc 15
f8l24t48b50m015 3e-3 sg 10
f8l32t64b50m010 1e-3 sg 8
f8l32t64b50m015 1e-3 sg 8
f8l32t64b50m010 1e-3 dc 11
f4l24t48b64m0125 2e-3 dc 6
f4l24t48b66m015 2e-3 sg 10
f8l32t64b48m0075 1e-3 sg 10
f8l32t64b48m005 3e-3 dc 10
f8l32t64b48m005 3e-3 sg 10
f4plus8l32t64b40m005m050 0.005 dc 10
f4plus8l32t64b40m005m050 0.005 dc 15
f4plus8l32t64b40m005m051 1e-2 dc 15
f8l24t48b48m035 0.005 sg 6
f4l24t48b64m0125 2e-3 dc 7
f4l24t48b66m015 2e-3 sg 7
f12l24t48b40m035 0.005 sg 4
